sub_category,product_name,product_price,product_manufactured
Human Insulin Rapid,Human Fastact 40IU/ml Injection,₹121.91,USV Ltd
Human Insulin Rapid,Human Rapidica 40IU/ml Injection,₹157.57,Abbott
Human Insulin Rapid,Humaject R 100IU/ml Injection,₹1160.25,Eli Lilly and Company India Pvt Ltd
Human Insulin Rapid,Humaject 100IU/ml Injection,₹1160.25,Eli Lilly and Company India Pvt Ltd
Human Insulin Rapid,Human Interact 40IU/ml Injection,₹134.3,USV Ltd
Human Insulin Rapid,Univia R 40IU/ml Injection,,Pfizer Ltd
Human Insulins And Analogues,Human Mixtard 70/30 Suspension for Injection 40IU/ml,₹133.93,Novo Nordisk India Pvt Ltd
Human Insulins And Analogues,Novomix 30 100IU/ml Penfill,₹598.4,Novo Nordisk India Pvt Ltd
Human Insulins And Analogues,Mixtard 30 HM 100IU/ml Penfill,₹271.15,Novo Nordisk India Pvt Ltd
Human Insulins And Analogues,Ryzodeg 100IU/ml Penfill,₹870.4,Novo Nordisk India Pvt Ltd
Human Insulins And Analogues,Huminsulin  30/70 100IU/ml Cartridge 3ml,₹300.9,Eli Lilly and Company India Pvt Ltd
Human Insulins And Analogues,Human Mixtard 70/30 Suspension for Injection 100IU/ml,₹348.5,Novo Nordisk India Pvt Ltd
Human Insulins And Analogues,Novorapid 100IU/ml Solution for Injection,₹598.4,Novo Nordisk India Pvt Ltd
Human Insulins And Analogues,Ryzodeg 100IU/ml Flextouch,₹1122,Novo Nordisk India Pvt Ltd
Human Insulins And Analogues,Human Mixtard 50 Injection 40IU/ml,₹169.7,Novo Nordisk India Pvt Ltd
Human Insulins And Analogues,Humalog Mix 25 100IU/ml Cartridge,₹633.25,Eli Lilly and Company India Pvt Ltd
Human Insulins And Analogues,Novomix 30 Flexpen 100IU/ml,₹739.5,Novo Nordisk India Pvt Ltd
Human Insulins And Analogues,Insugen 30/70 100IU Refil Cartridge,₹200.29,Biocon
Human Insulins And Analogues,Insugen 30/70 Injection 100IU/ml,₹401.09,Biocon
Human Insulins And Analogues,Fiasp 100IU/ml Penfill,₹520.33,Novo Nordisk India Pvt Ltd
Human Insulins And Analogues,Novomix 30 100IU/ml Penfill,₹2992,Novo Nordisk India Pvt Ltd
Human Insulins And Analogues,Eglucent Mix 25 100IU/ml Suspension for Injection,₹633.25,Lupin Ltd
